step : length : path
   1 :      0 : 0  
   2 :      4 : 0 12  
   3 :      7 : 0 12 26  
   4 :      9 : 0 12 26 19  
   5 :     15 : 0 12 26 19 34  
   6 :     27 : 0 12 26 19 34 33  
   7 :     40 : 0 12 26 19 34 33 32  
   8 :     47 : 0 12 26 19 34 33 32 20  
   9 :     57 : 0 12 26 19 34 33 32 20 5  
  10 :     66 : 0 12 26 19 34 33 32 20 5 30  
  11 :     78 : 0 12 26 19 34 33 32 20 5 30 25  
  12 :     90 : 0 12 26 19 34 33 32 20 5 30 25 15  
  13 :     96 : 0 12 26 19 34 33 32 20 5 30 25 15 38  
  14 :    104 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17  
  15 :    108 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6  
  16 :    115 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8  
  17 :    120 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1  
  18 :    126 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24  
  19 :    132 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28  
  20 :    143 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21  
  21 :    152 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13  
  22 :    159 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4  
  23 :    168 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37  
  24 :    189 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2  
  25 :    198 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31  
  26 :    201 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18  
  27 :    211 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27  
  28 :    217 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9  
  29 :    222 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29  
  30 :    235 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7  
  31 :    253 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3  
  32 :    260 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11  
  33 :    270 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14  
  34 :    284 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22  
  35 :    288 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23  
  36 :    315 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23 16  
  37 :    322 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23 16 36  
  38 :    392 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23 16 36 35  
  39 :    399 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23 16 36 35 10  
  40 :    442 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23 16 36 35 10 39  
  41 :    450 : 0 12 26 19 34 33 32 20 5 30 25 15 38 17 6 8 1 24 28 21 13 4 37 2 31 18 27 9 29 7 3 11 14 22 23 16 36 35 10 39 0  
